ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"18486","DISCO RD","ATTWELL DR","","","Etobicoke York","Collector","43.701371","-79.608945","2014-11-13 07:00","2015-11-13 17:00","Daily","The eastbound and westbound lanes will be occupied due to road widening, construction of substructure of Disco/Goreway and median construction.","Planned"
"19356","DUNDONALD ST","15 Dundonald St","","","Toronto and East York","Local","43.665896","-79.383999","2014-12-22 00:01","2016-11-24 23:59","Continuous","The westbound lanes will be occupied due to TTC Wellesley fire ventilation upgrades and second entrance.","Planned"
"19464","EGLINTON AVE E","PETMAN AVE","","","Toronto and East York","Major Arterial","43.709362","-79.384868","2015-01-07 07:00","2015-10-31 19:00","Daily","Eastbound and westbound curb lanes are occupied due to traffic control setup and jersey barriers","Planned"
"20028","EGLINTON AVE W","RENFORTH DR","","","Etobicoke York","Major Arterial","43.66448","-79.589049","2015-02-05 00:01","2016-12-30 23:59","Continuous","The westbound sidewalk will be occupied due to road construction.","Planned"
"20546","MEADOWVALE RD","","KINGSTON RD","SHEPPARD AVE E","Scarborough","Minor Arterial","43.795571","-79.164919","2015-09-03 09:00","2015-10-04 15:00","Daily","Northbound curb lane will be blocked due to manhole maintenance.","Planned"
"21209","GARDINER EXPY W SHERBOURNE RAMP","","","","Toronto and East York","Expressway Ramp","43.647013","-79.365054","2015-06-04 23:00","2016-12-31 23:59","Continuous","The westbound Gardiner off-ramp to Lower Sherbourne is closed permanently.","Planned"
"21229","ALBION RD","","STEINWAY BLVD","CODLIN CRES","Etobicoke York","Major Arterial","43.74811","-79.628854","2015-04-13 00:01","2015-10-30 23:59","Continuous","The eastbound and westbound lanes will be occupied (alternating) for connecting Hwy 427 northbound and southbound bridge structures above Albion Road.","Planned"
"21288","CEDAR DR","","EGLINTON AVE E","DUNELM ST","Scarborough","Collector","43.744012","-79.215645","2015-04-10 07:00","2015-12-31 19:00","Continuous","Lanes in all directions will be restricted due to watermain replacement.","Planned"
"21296","EGLINTON AVE E","","DUNFIELD AVE","HOLLY ST","Toronto and East York","Major Arterial","43.707167","-79.396209","2015-04-08 00:01","2015-10-31 23:59","Continuous","The northbound lanes will be occupied due to setting-up of jersey barriers, one lane each direction (eastbound and westbound) will be open.","Planned"
"21539","EGLINTON AVE W","COMMERCE BLVD","","","Etobicoke York","Major Arterial","43.662501","-79.591141","2015-04-27 00:01","2015-10-12 23:59","Continuous","Full road closure due to the Renforth Gateway bus rapid transit hub construction.","Planned"
"21777","DUFFERIN ST","","JANE OSLER BLVD","EGLINTON AVE W","North York","Major Arterial","43.708462","-79.453597","2015-05-04 00:01","2015-10-30 23:59","Continuous","The northbound and southbound lanes will be occupied due to road resurfacing.","Planned"
"22074","ACACIA RD","","DAVISVILLE AVE","BELSIZE DR","Toronto and East York","Collector","43.70092","-79.3898","2015-05-12 13:00","2015-10-06 20:00","Weekdays","All lanes are occupied due to temporarily park vendor vehicles in connection with the Davisville Farmers' Market at June Rowlands Park.","Planned"
